rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,Financial Rating Letter Grade,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
11,12/29/2000,498,224,93,INTERN,12/31/2004,C,0.89,1.06,1685243,0,724,1901170,0,618034,653595,71827,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2005,D,0.86,0.63,1644667,12894,1833,1901005,0,399845,712263,78059,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2006,F,0.8,0.39,1547160,69879,3317,1846838,0,239194,722888,112530,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2007,D,0.92,0.41,1628905,58960,3202,1711882,0,247538,726172,120989,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2008,B,1.03,0.39,1796511,35304,2111,1707488,0,211229,667701,130084,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2009,C,0.98,0.41,1725822,48962,867,1711302,0,230509,696128,139863,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
11,12/29/2000,498,224,93,INTERN,12/31/2010,C,0.94,0.39,1670976,58770,394,1710977,0,218678,708415,150377,0,173826,173826,,,,,0,,,2,7,2,,173826,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2001,D,0,0.42,192086,26282,12415,0,0,562198,1349665,21359,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2002,A,0.98,3.07,450252,36838,2998,419251,0,815594,468876,26961,176285,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
13,5/22/2001,974,149,149,S8LMSA,12/31/2003,C,0.63,1.36,311252,30016,9966,429235,0,583726,453026,25232,0,102430,102430,,,,,85360,85360,,3,4,0,51340,102430,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
