Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
1,633,19700716,661,401,68,4,20100930,1.87,2.45,2017063,97077,1100,1025684,0,1173105,986113,502017,4754,144545,32440,112105,0,17127,0,113360,113360,0,1,12,3,52156,161672,211,53,75,83,0,211,0,0,0,0,0,0.82,68,113,30,0,0,0,0
1,1197,20080515,1151,149,144,22,20101231,3.93,1.37,377537,0,812,95834,0,464021,368900,9443,21066,50772,5919,44853,0,0,1440,44271,44271,0,3,3,1,47119,52212,48,48,0,0,0,0,48,0,0,0,0,2,0,4,40,4,0,0,0
2,815,19981201,661,401,68,14,20100930,1.35,0.94,1556653,81842,666,1095526,0,619841,824695,163955,0,72403,17283,55120,0,0,1291,55334,55334,0,1,12,2,33683,73694,125,105,0,20,0,100,25,0,0,5,0,1,20,85,20,0,0,0,0
2,798,19760615,906,145,153,16,20101231,1.73,0.56,42547,7330,25,20350,0,13813,44520,19800,0,9835,1086,8749,0,0,0,8749,8749,0,1,5,0,3982,9835,8,2,6,0,0,0,8,0,0,0,0,2.38,0,0,6,1,1,0,0
1,653,19721227,662,401,68,4,20100930,1.25,1.53,1797617,322603,1344,1181969,0,530819,709942,363093,0,145213,31562,113651,9906,0,29651,120570,110664,9906,1,15,3,39814,184770,179,45,63,71,0,179,0,0,0,4,0,0.87,36,130,13,0,0,0,0
1,1004,19870727,959,319,90,20,20101231,1.33,2.53,261185,39826,542,165693,0,199379,88715,9951,0,30248,3108,27140,0,0,0,21231,19591,1640,1,5,1,29411,30248,37,10,0,27,0,0,37,0,0,2,0,0.73,10,27,0,0,0,0,0
1,741,19730424,566,149,70,17,20101231,1.6,3.31,2908237,333420,2740,1607507,0,2861465,1559297,693902,0,285250,15000,270250,37750,0,0,298834,261084,37750,3,20,5,99150,323000,301,76,136,89,0,30,271,0,0,6,0,1.7,0,128,139,30,4,0,0
2,685,19720411,568,318,52,4,20101231,3.08,0.35,1737236,99394,736,531738,0,227397,936175,287519,0,154072,11147,142925,13500,0,29248,97515,85115,12400,1,16,3,14419,196820,127,25,0,102,0,0,127,0,0,0,0,1.14,16,83,22,6,0,0,0
1,971,19850716,655,319,65,4,20101231,1.02,18.97,201275,0,185,196493,0,790794,126426,84742,0,25500,1500,24000,0,0,0,20000,20000,0,1,3,1,48885,25500,27,12,0,15,0,27,0,0,0,3,0,1.07,2,21,4,0,0,0,0
1,1141,19981201,980,149,149,15,20101231,1.34,3.34,908590,168210,6627,547085,0,1532074,548206,89976,0,225480,15580,209900,4040,0,0,210140,206100,4040,11,4,0,324183,229520,202,150,0,52,0,0,202,0,0,4,0,2.93,0,23,42,80,41,16,0
1,801,19751015,483,66,8,15,20101231,1.1,1.26,391949,107191,283,259089,0,289718,378443,148111,0,130135,0,130135,0,0,0,82820,82820,0,1,5,1,202004,130135,109,81,28,0,0,109,0,0,0,11,0,1.11,0,97,12,0,0,0,0
1,862,19790920,111,83,75,15,20101231,1.01,1.44,388506,87401,360,298546,0,176155,260535,138284,0,78052,16110,61942,14950,1806,0,73895,58945,14950,1,6,1,33178,94808,85,85,0,0,0,85,0,0,0,9,0,1,6,73,6,0,0,0,0
1,14,20010101,1070,26,125,15,20101231,1.91,3.83,668748,81716,1759,306595,0,788310,242144,36252,0,52000,8920,43080,1351,0,0,44431,43080,1351,4,3,4,45465,53351,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
1,687,19720229,773,140,150,17,20101231,3.35,2.71,2324482,830092,3637,444792,0,1078794,799965,402438,0,252013,5162,246851,0,0,11810,201150,201150,0,16,3,0,650351,263823,201,181,20,0,0,0,201,0,0,5,0,2.5,0,30,70,71,30,0,0
2,1080,19941229,332,149,6,15,20101231,1.39,0.25,565113,85080,369,345450,0,339662,1913758,53120,483767,574992,0,574992,0,0,0,152686,152686,0,10,2,0,0,574992,170,132,38,0,0,0,170,0,0,0,0,2.07,0,20,118,32,0,0,0
3,1081,19941229,332,149,6,15,20101231,0.87,1.74,314308,46280,114,309286,0,187970,242711,134464,0,313632,0,313632,0,0,0,84478,84478,0,7,2,0,0,313632,94,76,18,0,0,0,94,0,0,0,0,2.04,0,8,74,12,0,0,0
1,965,19841219,362,319,65,4,20101231,1,1.01,320762,31030,603,288738,0,153723,251658,99099,0,142928,1824,141104,11200,0,0,107136,97200,9936,3,5,2,206910,154128,94,20,4,70,0,0,94,0,0,2,0,1.24,0,74,17,3,0,0,0
1,508,20040601,983,149,149,21,20101231,1,1.71,409715,70452,1133,338758,0,382960,262155,38447,0,80000,80000,0,0,0,0,0,0,0,3,4,2,0,80000,64,64,0,0,0,0,64,0,0,4,0,1.88,0,15,42,7,0,0,0
1,1165,19990729,841,319,65,21,20101231,1.57,1.6,1272618,78907,124,758602,0,606529,506217,127924,0,95040,95040,0,0,0,0,0,0,0,1,11,2,0,95040,151,121,0,30,0,0,151,0,0,8,0,1,0,151,0,0,0,0,0
1,978,19851101,1141,122,50,20,20101231,1.04,2.48,660009,73759,484,563507,0,525440,351594,139961,0,112953,2100,110853,0,0,0,82690,82690,0,1,6,2,182893,112953,87,22,0,65,0,0,87,0,0,4,0,1.97,0,7,76,4,0,0,0
1,835,19780321,836,64,135,15,20101231,1.97,2.83,684580,171818,1664,259029,0,951714,466033,129912,0,68975,1100,67875,5625,0,0,59510,53910,5600,1,7,2,24185,74600,64,64,0,0,0,23,41,0,0,4,0,1.53,0,32,30,2,0,0,0
2,586,20050630,626,38,94,21,20101231,0.93,1.94,2740737,3289,1281,2934022,0,900575,792345,327317,0,206669,33224,173445,0,0,98241,170726,170726,0,1,6,3,310605,304910,180,36,0,144,0,0,180,0,0,0,0,1.63,0,75,96,9,0,0,0
1,799,19780321,238,230,9,15,20101231,1.33,3.11,666652,106679,3940,417928,0,616801,407918,209494,0,132075,22112,109963,0,1820,0,106859,106859,0,6,5,4,126531,133895,130,130,0,0,0,93,37,0,0,8,0,1.81,0,77,24,6,23,0,0
1,626,20070629,44,501,50,22,20101231,2.08,11.92,124994,0,1617,59349,0,681116,61343,4209,0,44600,44600,0,0,0,0,0,0,0,1,2,1,273215,44600,56,56,0,0,0,56,0,0,0,0,0,1,0,56,0,0,0,0,0
1,946,19821008,646,66,8,14,20101231,1.4,2.79,1032613,190589,1187,600793,0,412280,275435,127768,0,87389,3370,84019,0,0,0,79458,79458,0,11,2,0,809780,87389,96,95,0,1,0,47,49,0,0,10,0,1.72,0,47,33,12,4,0,0
1,1071,19950202,562,149,70,14,20101231,1.59,4.2,832415,0,2036,522512,0,903733,409422,164180,30000,88180,0,88180,0,0,0,70195,70195,0,9,3,1,0,88180,77,39,7,31,0,0,77,0,0,5,0,2.05,0,15,43,19,0,0,0
2,1005,19861031,1241,93,140,18,20101231,1.28,0.03,138423,38659,24,77982,0,68669,2298772,1,0,35430,1069,34361,4700,0,0,34285,29585,4700,1,6,1,19371,40130,85,45,0,40,0,0,85,0,0,5,0,0,85,0,0,0,0,0,0
1,544,20050421,622,258,13,4,20101231,1.25,2.61,3672959,79697,415,2863670,0,1858790,1080974,369867,0,415655,47286,368369,0,0,168063,273494,273494,0,2,4,4,203957,583718,204,41,2,161,0,0,204,0,0,0,0,2,5,35,118,46,0,0,0
4,252,20030306,496,258,13,4,20101231,0.8,1.14,1150077,39158,474,1386651,0,301826,416773,151887,0,143267,0,143267,0,0,0,0,0,0,6,3,0,0,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
3,449,20030627,482,258,13,4,20101231,0.88,1.22,1618427,56616,329,1784325,0,435915,715344,356716,0,188583,0,188583,0,0,0,0,0,0,13,3,0,0,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
1,806,19760721,536,143,152,14,20101231,1.04,1.89,768809,0,1743,737955,0,507211,790741,521755,0,108416,0,108416,0,0,0,89500,89500,0,1,11,0,0,108416,130,129,0,1,0,129,1,0,0,7,0,1.15,0,110,20,0,0,0,0
1,696,19720713,812,92,36,16,20101231,1.73,1.65,998435,38240,180,555105,0,695952,710609,289448,0,173040,3000,170040,8000,0,0,144584,136584,8000,1,22,2,49940,181040,213,3,157,53,0,0,213,0,0,2,0,1.3,22,106,85,0,0,0,0
1,28,20070726,967,93,140,14,20101231,1.82,3.6,929806,69492,2630,472516,0,1412117,453630,61339,0,116167,32840,83327,0,0,4768,79775,79775,0,1,11,2,46895,120935,125,125,0,0,0,125,0,0,0,24,0,1.26,0,99,20,6,0,0,0
1,915,19810206,1161,85,44,15,20101231,1.1,4.71,411577,28216,502,348766,0,414987,272267,184228,0,0,0,0,0,0,0,30757,30757,0,2,4,0,42299,55410,40,40,0,0,0,40,0,0,0,4,0,1.13,0,35,5,0,0,0,0
1,936,19821008,834,451,117,15,20101231,1.07,1.54,784631,0,1818,729679,0,602020,903043,511940,0,77658,4370,73288,3982,0,0,47324,43446,3878,1,8,2,12760,81640,135,85,0,50,0,135,0,0,0,7,0,0.07,126,9,0,0,0,0,0
1,709,19730208,665,87,49,17,20101231,1.34,1.52,920917,14408,1110,675465,0,736204,712597,229728,0,104003,694,103309,25968,0,0,93475,71390,22085,1,13,3,22621,129971,80,20,10,50,0,0,80,0,0,0,0,1.75,0,20,60,0,0,0,0
1,1153,19980819,143,122,50,14,20101231,2.12,4.25,820118,99477,1214,339725,0,534852,254689,96051,32892,20000,20000,0,0,0,0,0,0,0,8,0,0,0,20000,157,156,0,1,0,117,40,0,0,14,0,1.61,0,83,52,22,0,0,0
1,681,19740731,587,148,155,16,20101231,1.12,2.3,304028,75128,69,204410,0,247276,222244,114633,0,88890,0,88890,0,0,0,83880,83880,0,11,2,0,452153,88890,96,24,72,0,0,0,96,0,0,3,0,1.73,0,36,50,10,0,0,0
2,698,19730803,321,270,30,17,20101231,1.09,0.83,796009,153945,1842,585821,0,322802,705194,316650,0,194703,25013,169690,12000,0,0,186643,174643,12000,9,7,2,335333,206703,201,75,126,0,0,89,112,0,0,16,0,1.86,0,89,72,20,20,0,0
1,1072,19940714,240,176,17,4,20101231,2.2,1.48,92343,11772,558,36382,0,103393,92983,14662,8400,31792,3920,27872,0,0,0,29544,29544,0,1,3,0,37912,31792,38,19,0,19,0,0,38,0,0,0,0,1.87,0,10,23,5,0,0,0
3,1164,19991231,62,229,15,13,20101231,0.91,0.46,363521,27657,326,366775,0,182288,595386,195633,0,113436,0,113436,0,0,0,0,0,0,6,3,0,0,113436,120,75,45,0,0,0,120,0,0,2,0,2.3,0,24,48,36,12,0,0
2,535,20060630,1214,160,18,14,20101231,0.9,3.89,270149,0,932,300460,0,603384,185438,30182,0,44375,0,44375,0,0,0,0,0,0,1,5,2,0,44375,71,70,0,0,1,70,0,0,1,8,0,1,0,71,0,0,0,0,0
