Number_equivalent_letter_grade,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Number_equivalent_Principal_Program_Detail_Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
2,633,19700716,661,401,68,4,19991231,1.23,0.55,838640.00,"86,800",6399.00,607542.00,0.00,303763.00,749111.00,200602.00,0.00,144545.00,32440.00,112105.00,0.00,17127.00,0.00,113360.00,113360.00,0.00,1,12,3,52156.00,161672.00,211,53,75,83,0,211,0,0,0,0,0,0.82,68,113,30,0,0,0,0
3,11,20001229,498,224,93,4,20041231,0.89,1.06,1685243.00,0,724.00,1901170.00,0.00,618034.00,653595.00,71827.00,0.00,173826.00,173826.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,7,2,0.00,173826.00,174,39,0,135,0,0,174,0,0,9,0,1.52,0,84,90,0,0,0,0
4,13,20010522,974,149,149,13,20011231,0,0.42,192086.00,"26,282",12415.00,0.00,0.00,562198.00,1349665.00,21359.00,0.00,102430.00,102430.00,0.00,0.00,0.00,0.00,85360.00,85360.00,0.00,3,4,0,51340.00,102430.00,88,88,0,0,0,0,88,0,0,5,0,2.28,0,19,37,20,12,0,0
1,14,20010101,1070,26,125,15,20021231,2.02,2.52,635707.00,"30,734",8204.00,295648.00,0.00,474625.00,209486.00,21158.00,0.00,52000.00,8920.00,43080.00,1351.00,0.00,0.00,44431.00,43080.00,1351.00,4,3,4,45465.00,53351.00,76,75,0,0,1,75,0,0,1,7,0,1.12,0,67,9,0,0,0,0
1,16,20010423,896,175,71,13,20021231,1.48,2.11,2042908.00,0,54189.00,1345796.00,0.00,2660983.00,1260276.00,1.00,0.00,155687.00,9685.00,146002.00,5121.00,0.00,0.00,154928.00,151166.00,3762.00,7,3,2,55156.00,160808.00,181,181,0,0,0,0,181,0,0,9,0,2.1,11,52,64,24,26,0,4
1,17,20010814,950,175,71,13,20021231,1.78,3.03,464806.00,0,15882.00,252497.00,0.00,979272.00,323338.00,1.00,0.00,35000.00,35000.00,0.00,0.00,0.00,0.00,29219.00,29219.00,0.00,2,5,0,0.00,35000.00,27,27,0,0,0,0,27,0,0,2,0,3.19,0,0,3,16,8,0,0
1,18,20001201,514,89,20,14,20001231,2.04,43.88,1893828.00,"359,812",30264.00,735916.00,0.00,7282600.00,219939.00,53957.00,0.00,246135.00,0.00,246135.00,0.00,0.00,0.00,0.00,0.00,0.00,1,14,2,0.00,246135.00,200,199,0,1,0,199,1,0,0,20,0,1.22,0,161,38,0,0,0,1
1,19,20010701,456,149,156,21,20031231,1.3,1.87,892879.00,0,1071.00,688280.00,0.00,362177.00,297281.00,87539.00,16146.00,165000.00,0.00,165000.00,0.00,0.00,0.00,143060.00,143060.00,0.00,17,2,0,544064.00,165000.00,151,126,0,25,0,0,151,0,0,0,0,2.26,0,0,111,40,0,0,0
1,28,20070726,967,93,140,14,20091231,1.42,2.39,865685.00,"40,793",7238.00,577722.00,0.00,1138202.00,534488.00,57989.00,0.00,116167.00,32840.00,83327.00,0.00,0.00,4768.00,79775.00,79775.00,0.00,1,11,2,46895.00,120935.00,125,125,0,0,0,125,0,0,0,24,0,1.26,0,99,20,6,0,0,0
1,34,20030313,1174,89,114,14,20041231,1.5,3,615303.00,"21,453",8949.00,389467.00,0.00,462804.00,208914.00,54544.00,0.00,115174.00,0.00,115174.00,0.00,0.00,0.00,0.00,0.00,0.00,1,8,2,0.00,115174.00,134,133,0,0,1,134,0,0,0,13,0,1.12,0,118,16,0,0,0,0
